name,fkManagingOrganizationId,description,fkTypeId,availableToId,feeInfo,servicesProvided,onlineOrderingUrl,expiration,pocInfo,minOrderQty
Continuous Diagnostics and Mitigation (CDM),6,"The CDM Program helps transform the way federal and other government entities manage their cyber networks through strategically sourced tools and services, and enhances the ability of government entities to strengthen the posture of their cyber networks. The CDM Program brings an enterprise approach to continuous diagnostics, and allows consistent application of best practices.",7,5,None,The CDM BPA provides government programs with specialized information technology (IT) tools and continuous monitoring services (CMaaS) to enhance cyber-security efforts. The CDM BPA includes 15 Tool Functional Areas and 11 Service Task Areas.,http://www.gsa.gov/portal/content/176671,8/11/2018,cdm@gsa.gov,
Defense Logistics Agency (DLA) - Document Services,7,"DLA Document Services' mission is to transform the Department of Defense (DoD) from high volume printing to on-demand documents and on-line, electronic content and records management.",1,5,Varies (embedded in catalog price),"Printing, Design Services, Electronic Document Management, and Equipment Management Solutions",http://www.documentservices.dla.mil/,Varies by vendor contract.,"DLA Print Solutions Help877-DAPS-CAN
custinfo.docsvcs@dla.mil",
Department of Navy: Enterprise Software Licensing (ESL),8,"The Department of the Navy is establishing Enterprise Licensing Agreements (ELAs) with IT hardware and software vendors to achieve cost savings, improve management, streamline procurement and enhance security. ",17,5,"2% Acquisition, Contracting and Technical (ACT) Fee",IT Software and in some cases may include software related services and hardware components,https://www.peoeis.portal.navy.mil/pmm110/default.aspx NOTE: Updated link not yet available.,Varies by contract vehicle. See Terms & Conditions.,"Oracle - Steve Cabrian@usmc.mil, Axway - Ross.Orvik@navy.mil, Microsoft - Patricia.Lyons@usmc.mil, Symantec - Lynda.Potters@navy.mil, ActivIdentity - Robert.Franco@navy.mil",
Department of Navy: Furniture BPA,8,"The DON Furniture BPAs have achieved an initial discount at the BPA level and will allow the Department to reduce use of redundant vehicles. These BPAs were competitively awarded against Federal Supply Schedules and to the Federal Prison Industries d/b/a UNICOR for office, dorm and quarters, child development, and industrial and institutional furniture as part of Spiral II of the Navy's Strategic Sourcing Initiative for Furniture.",7,5,0.75% fee (included in catalog prices),"Office, dorm and quarters, child development, and industrial and institutional furniture.",http://www.secnav.navy.mil/rda/OneSource/Pages/Strategic%20Sourcing/DON-Furniture-Acquisition.aspx,Varies by vendor contract.,"Navy Furniture Program POC 757-443-1319
flcn.furniture@navy.mil",
DHS ELAs for Specific Publishers,2,,17,33,"Internal Acquisition, Contracting and Technical (ACT) fee","Software: Adobe, ESRI, Microsoft, Oracle (single-award, brand-name justified), F5 Networks, IBM, McAfee, NetApp, Quantum, Symantec, VMWare (multiple-award, based upon technical capability)",N/A,N/A,Jaclyn.Smyth@hq.dhs.gov,
DHS First Source II,2,FirstSource II provides the Department with access to a full array of value-added reseller services and access to a wide and renewable variety of IT commodities and solutions (hardware and software) from multiple Original Equipment Manufacturers (OEMs).,1,33,None,"Includes, but not limited to: Networking equipment; Wireless technology; Imaging products; Voice recognition technology; On-line data reporting services for order, delivery, warranty, asset, and spend tracking; and all associated product maintenance, installation, and support",http://www.dhs.gov/firstsource-ii,Varies by contract vehicle. See Terms & Conditions.,,
Digital Printing & Imaging (DPI),3,,7,9,GSA Fee is rolled into item costs,Product based with incidental services,https://www.afway.af.mil/,4/10/2019,,
DISA Encore II,9,"The objective of the Encore II contract is to provide global net-centric capabilities, attributes or services under multiple award, Indefinite-Delivery/Indefinite-Quantity (ID/IQ) task order type contracts that support the military services, the DoD and other Federal agencies. DISA actively facilitates the migration of information systems and common, standard data into an integrated and interoperable GIG that supports the Department‰Ûªs Joint Vision 2020 (JV2020) concept.",1,5,2.0% processing fee; Additional 1.0% when using a local contracting office,"20 Task areas including: Enterprise IT Policy & Planning, Integrated Solutions Management, Performance Benchmarking, Business Process Reengineering (BPR), Requirements Analysis, Market Research & Prototyping, Information and Knowledge Engineering, Customer Application Development, Product Integration, Test & Evaluation, Asset Management, Communications Engineering, Security Engineering C&A, Telecommunications Support, Computer Telephony Integration, Web Services, Operations Support, Hardware, Software, Managed services",http://www.dsaencore2.com/index.html,"Five year base period starting 4/24/2008, with five 1-year options",,
DoD EMALL,7,,9,5,Varies (embedded in catalog price),DoD EMALL provides everything from office supplies to aircraft parts. NSNs can be purchased using government purchase card or MILSTRIP Requisition from dedicated DLA Customer Service at 1-877-352-2255 or DSN 661-7766 or via the EMALL website.,https://dod.emall.dla.mil/acct/,Varies by vendor contract.,,
DoD Enterprise Software Initiative (ESI),9,,7,5,"2% Acquisition, Contracting and Technical (ACT) fee built into pricing","Commercial Off-the-Shelf Information Technology Agreements, Assets and policies for the purpose of lowering total cost of ownership across the DoD, Coast Guard, Intelligence Community and Federal buyers",http://www.esi.mil/Default.aspx,Varies by contract vehicle. See Terms & Conditions.,Ask a Product Manager http://www.esi.mil/askSPM.aspx Mr. Bob Smith robert.j.smith84@mail.mil,
DoD ESI SEAMLS,3,,ELAs,5,"2% Acquisition, Contracting and Technical (ACT) Fee","Primary Air Force Point of Contact for Adobe X Pro, Microsoft, and Oracle software license agreemnents. See www.esi.mil for ELAs available to the USAF",http://www.esi.mil/Default.aspx,Varies by contract vehicle. See Terms & Conditions.,Ask a Product Manager http://www.esi.mil/askSPM.aspx,
Domestic Delivery Service (DDS),6,"The third generation Domestic Delivery Service (DDS3) has awarded a new best value Blanket Purchase Agreement to UPS and FedEx and provides domestic delivery services for both air and ground shipments between the Continental U.S. and Alaska, Hawaii, and Puerto Rico. DDS3 continues to provide agencies with data around usage patterns in order to give customers the visibility they need to reduce shipping costs and improve business practices in managing shipments.",1/3/2015,,2% Industrial Funding Fee from vendors,"DDS3 provides domestic time- and day-definite delivery services for both air and ground shipments of extremely Urgent Letters, Small Packages and Heavyweight items,  including available accessorial services between the Continental U.S. and Alaska, Hawaii, and Puerto Rico . Service Categories include: Express Next Day, Express Second Day, Express Third Day, Ground and Other Delivery.",http://www.gsa.gov/portal/content/105105,9/30/2017,"Senior Program Executive: Ronnie Palmer,(703) 605 5661, ronnie.palmer@gsa.gov 
Program Manager: Stevie Graham  fssi.domesticdeliveryservices@gsa.gov",None
Encore II,9,"The Encore II contract provides technical solutions for the Department of Defense (DoD) in support of its migration to an integrated and interoperable Global Information Grid (GIG), as well as other Federal agencies having similar Information Technology (IT) migration and integration needs.",1,5,,,http://www.dsaencore2.com/Contract/External%20Ordering.html,,,
Enterprise PRISM Instance (EPI) Perpetual Licenses and Maintenance BPA,2,,7,33,None,"This single-award BPA provides PRISM Perpetual Software Licenses, associated Perpetual License Maintenance, and other PRISM related Software Modules and associated Maintenance in support of DHS‰Ûªs Enterprise PRISM Instance (EPI).",N/A,9/17/2019,Sharon.aiken@hq.dhs.gov,
Dept of Navy - Enterprise Software Licensing (ESL),8,,7,79,,,http://www.esi.mil/Default.aspx,,,
Enterprise Software Solutions BPAs - Application Infrastructure,2,,7,33,None,"The agreement provides software licenses, software maintenance, training and consulting services.",N/A,9/22/2018,Jaclyn.Smyth@hq.dhs.gov,
Enterprise Software Solutions BPAs - Backup and Storage,2,,7,33,None,"The agreement provides software licenses, software maintenance, training and consulting services.",N/A,9/22/2018,Jaclyn.Smyth@hq.dhs.gov,
Enterprise Software Solutions BPAs - Security,2,,7,33,None,"The agreement provides software licenses, software maintenance, training and consulting services.",N/A,9/22/2018,Jaclyn.Smyth@hq.dhs.gov,
Enterprise Talent Management System (ETMS),2,,7,33,None,"Software as a Service (SaaS) available under this BPA includes but is not limited to a vendor hosted solution including user access, configuration, data migration, training, change management, program management, and IT professional services to support the capabilities (as needed).",N/A,5/27/2018,LaTanya.Taylor@hq.dhs.gov,
ESRI Enterprise Agreement BPA,2,,7,33,None,"Provides the DHS with continued maintenance of the capped number of ESRI GIS desktop software licenses along with unlimited maintenance of desktop extensions maintained for those licenses, unlimited Server licenses, and associated tiered technical support for all the licenses.",N/A,9/29/2016,Jaclyn.Smyth@hq.dhs.gov,
Federal Acquisition Institute (FAI) Commercial Off-The-Shelf (COTS),6,Courses for Federal Acquisition Certification for Contracting Officer‰Ûªs Representatives (FAC-COR) and for Project and Program Managers (FAC-P/PM),1,5,None,Courses for Federal Acquisition Certification for Contracting Officer‰Ûªs Representatives (FAC-COR) and for Project and Program Managers (FAC-P/PM),"To use FAI's IDIQ, your contracting officer must obtain a Delegation of Procurement Authority from the PCO.  To obtain information about a delegation, please contact Ernesto.Martinez@gsa.gov",2018,Please contact Ernesto.Martinez@gsa.gov for the terms and conditions of this MAC,
First Source II,2,,1,5,None,"The FirstSource II contracts offer a total array of IT commodity products including, but not limited to hardware, software, peripherals, networking, and infrastructure support services across an array of commodity and service categories, including: Small Form Factor Devices, Static Devices, Domain Devices, Virtual Desktop Infrastructure (VDI) Devices (desktop virtualization), and Peripheral Devices.",N/A,1/7/2018,,
FSSI OS3 Acquisition Channel,6,GSA has awarded multiple Indefinite Delivery-Indefinite Quantity (IDIQ) contracts for office supply products and commodities through the purchasing channel acquisition. Twenty-three of the twenty-four awards have gone to small business entities.,1,5,2% fee (included in catalog prices),"Office Paper; Toner and Inkjet Cartridges; General Office Supplies Capturing economies of scale; Ensuring compliance with applicable regulations to include the AbilityOne Program, sustainable purchasing requirements and the Trade Agreements Act; Fostering markets for sustainable technologies and environmentally preferable products; Simplifying data collection and enhancing transparency by enabling agencies to better manage expenditures and measure cost-savings; Aligning purchasing with existing agency procurement practices; Enabling achievement of socioeconomic goals; Providing ease of ordering; and Providing point of sale compliance, ensuring that purchase card users automatically receive the FSSI price.",https://www.gsaadvantage.gov/advantage/department/main.do?cat=ADV.FSSI,Varies by vendor contract.,"Robert Woodside
fssi.officesupplies@gsa.gov
(212) 264-2693","$25, $50 or $100 depending on vendor"
FSSI Print Management Functional Area 1 Conduct Fleet Assessment,6,"FSSI Print Management is a holistic commodity management approach that allows federal agencies to achieve cost and environmental savings through the implementation of a behavior change management program, and improvements to the acquisition of print and copy devices and services.",1,5,2% (0.75% Schedule fee and 1.25% program fee included in pricing),"Device (i.e. copier, printer) discovery, data collection, spend analysis, baseline identification, cost reduction plans and optimization",http://www.gsa.gov/portal/content/203331,Varies by vendor contract.,"National Customer Service Center
(800) 488-3111
mashelpdesk@gsa.gov",
FSSI Print ManagementFunctional Area 2 Device Plus,6,"FSSI Print Management is a holistic commodity management approach that allows federal agencies to achieve cost and environmental savings through the implementation of a behavior change management program, and improvements to the acquisition of print and copy devices and services.",1,5,2% (0.75% Schedule fee and 1.25% program fee included in pricing),"Document imaging solutions complete with devices, maintenance and repairs, consumables (excluding paper) and usage reporting, including energy usage.",http://www.gsa.gov/portal/content/203331,Varies by vendor contract.,"National Customer Service Center
(800) 488-3111
mashelpdesk@gsa.gov",
GPO Online Paper Store,10,,1,5,,"A variety of paper options and products Green options for federal consumers looking to follow federal guidelines and sustainable requirements, 24 hour or next-day delivery in major U.S. cities and 48-hour delivery for other locations across the continental U.S., 24/7 online ordering with the GPO Online Paper Store Web site, Dedicated Customer Service Center at 866.805.9498, Competitive pricing, Payment by Credit Card, IPAC, or Deposit Account",https://gpo.unisourcelink.com/login.html,Varies by vendor contract.,,
GPOExpress,10,"GPO program offers access to deeply discounted copying, binding, signs, and more from over 1,800 FedEx OfficeSM locations nationwide.",1,5,Varies (embedded in catalog price),"Scanning and Archiving of documents, direct mail services, on-site document solutions.",http://www.gpo.gov/customers/express.htm,Varies by vendor contract.,"GPOExpress Program Manager, 202.512.2159, GPOExpress@gpo.gov",Varies
GSA 4th Party Logistics (4PL),6,"The 4PL program is targeted at segments of the federal supply market requiring full supply chain support. GSA provides customized solutions to client organizations involving multiple methods of fulfillment (brick and mortar stores, customized web storefronts, multiple/parallel commercial supplier contracts, etc.).",1,5,Varies (embedded in catalog price),"Computer Products, Office Supplies, Furniture and Furnishings, Housewares and Cleaning, Industrial Supplies, Safety, Tools and Hardware, Wildland Fire items, Green items, Disaster Relief
",https://www.usmcservmart.gsa.gov/advantage/main/start_page.do?store=USMC,Varies by vendor contract.,"866-370-8894, USMCServMart@gsa.gov",Varies
GSA CIO specific ELAs,6,,7,3,None,"Adobe Connect, Agile Quest, BIT 9 (security agent), Fiberling MaaS360, Google, Mandiant (security agent), McAfee, Microsoft Windows & Servers (covers server operating systems and other server-based software like Project, Sharepoint, etc. Also covers Windows clients. Separate contract in place which covers Office for clients), Salesforce, Service Now",N/A,N/A,Mr. Brian Muolo brian.muolo@gsa.gov,
GSA Global Supply,6,"GSA Global Supply provides federal users, military or civilian, worldwide access to common-use items like office products, tools and cleaning supplies. Users can requisition items and pay with a government purchase card or through direct billing via an Activity Address Code (AAC/DoDAAC)",9,5,Varies (embedded in catalog price),"Computer Products, Office Supplies, Furniture and Furnishings, Housewares and Cleaning, Industrial Supplies, Safety, Tools and Hardware, Wildland Fire items, Green items, Disaster Relief
",www.gsaglobalsupply.gsa.gov,Varies by vendor contract.,"1-800-525-8027, GSAglobalsupply@gsa.gov",Varies
JanSan FSSI,6,GSA has established 18 blanket purchase agreements for a new strategic sourcing solution designed to help federal agencies purchase Janitorial and Sanitation (JanSan) supplies at discounted prices.,1,5,Varies (embedded in catalog price),"Cleaning Compounds and Related Dispensers;
Non-Motorized Cleaning Equipment and Trash Receptacles;
Paper Products and Related Dispensers; and 
Motorized Floor Cleaning Equipment and Accessories. ",https://www.gsaadvantage.gov/advantage/main/home.do,Varies by vendor contract.,"GSA National Customer Service Center (800) 488-3111, fssi.jansan@gsa.gov",
"Maintenance, Repair & Operations (MRO) FSSI",6,"GSA has established blanket purchase agreements with 10 contractors to sell products under the Maintenance, Repair & Operations (MRO) strategic sourcing solution.",1,5,Varies (embedded in catalog price),"Hardware; Tools and Tool Cabinets; and Paints, Adhesives and Sealants.",https://www.gsaadvantage.gov/advantage/main/start_page.do,Varies by vendor contract.,"National Customer Service Center (800) 488-3111, FSSI.MRO@gsa.gov",Varies by vendor contract.
Microsoft Enterprise License Agreement BPA,2,,7,33,None,The ELA provides immediate licensing for DHS Components over the term of the agreement and the option to purchase any of Microsoft‰Ûªs suite of products and associated software assurance (maintenance agreements).,N/A,6/26/2015,Jaclyn.Smyth@hq.dhs.gov,
National IT Commodity Program,6,"Federal agencies can buy IT commodities such as laptops, servers, and integrated support services faster and at lower prices through GSA. Users may save 15-37% when using the IT Commodity Buy BPA (compared to ordering off multiple award schedules).",7,5,0.75% (built into catalog prices),"Mobile Solutions: Computer Monitors, Tablets, Laptops, Desktops, Notebooks, Video Teleconference Equipment","Direct Solicitation, Reverse Auctions, eBuy, or Assisted Acquisition via ITSS",Ends in 2015,,
Navy Seaport-E,8,"SeaPort-e is the Navy's electronic platform for acquiring support services in 22 functional areas including Engineering, Financial Management, and Program Management.",1,5,None,"SeaPort-e is the Navy's electronic platform for acquiring support services in 22 functional areas including Engineering, Financial Management, and Program Management.",http://www.seaport.navy.mil/default.aspx,"Varies by vendor contract
5 year base + 2 5 year options","General Inbox:  seaport_pm@navy.mil
Naval Sea Systems Command
Attn: SEA 02651
1333 Isaac Hull Avenue SE Stop 2040
Washington Navy Yard DC 20376-2040

Seaport_ombudsman@navy.mil
Naval Sea Systems Command
Attn: SEA 021
1333 Isaac Hull Avenue SE Stop 2060
Washington Navy Yard DC 20376-2060","$2,501"
NETCENTS-2,3,,5,9,None,"COTS Hardware - Network equipment - Servers/Storage - Peripherals/Multimedia - Software (shrink wrapped) - Identify Managment/Biometric hardwware & ancillary SW, delivery, warranty, maintenace",http://www.netcents.af.mil/,6 Nov 15 (Ordering period ends),,
NITAAC CIO-CS,11,,5,5,0.50%,,https://nitaac.nih.gov/nitaac/contracts/cio-cs,Ten years after date of award,,
NITAAC CIO-SP3 Small Business,11,"IT services and solutions including: Capital Planning and Investment, Cloud Computing, Cybersecurity, Health and Biomedical IT, Enterprise Data Management, ERP IT Infrastructure, Identity and Access Management, Mobility Solutions, Software Development, Systems Engineering, and Workforce Management   ",5,5,"1% (capped at $150k applicable to > $15M for any task order base or optional period (not to exceed 12 months) or:
0.75% (capped at $150k applicable to > $20M for any task order base or optional period (not to exceed 12 months) ","Anything and everything IT products and solutions. IT commodities and solutions as they apply to supporting the general fields of IT operation (security, infrastructure, telecommunications, and desktop applications)",https://ecsiii.od.nih.gov/,Ten year ordering period expires in 2022,NITAAC Customer Support Center at NITAACsupport@nih.gov or 1.888.773.6542,
NITAAC ECS III,11,"6 lots including hardware, software, networking and telecommunications equipment, scientific research stations, warranties and maintenance service",5,5,"0.50% (capped at $10K per delivery order, modification, or exercise of option)","Covers 6 lots including hardware, software, networking and telecommunications equipment, scientific research stations, warranties and maintenance service and more",https://ecsiii.od.nih.gov/,5/9/2015,NITAAC Customer Support Center at NITAACsupport@nih.gov or 1.888.773.6542,
One Acquisition Source for Integrated Solutions (OASIS),6,"OASIS and OASIS Small Business (SB) are multiple award, Indefinite Delivery Indefinite Quantity (IDIQ) contracts that provide flexible and innovative solutions for complex professional services.","1,3",5,0.10% - 0.75% based on obligation level.,"Program management services, 
Management consulting services, 
Logistics services, 
Engineering services, 
Scientific services, 
Financial services.

These services:
Span many areas of expertise and mission spaces; 
Span multiple professional service disciplines;
Allow flexibility for all contract types, including hybrids and cost-reimbursement, at the task order level; and
Allow ancillary support components, commonly referred to as Other Direct Costs (ODC), at the task order level.",www.ebuy.gsa.gov,Varies by vendor contract.,SME; Todd Richards; todd.richards@gsa.gov; 817-850-8382: SME; Valerie Bindel; valerie.bindel@gsa.gov; (817) 850-8375: Pre-Award SME; Tommy Thomas; tommy.thomas@gsa.gov;(817) 978-4656: Business Manager; Tariq Choudry; tariq.choudry@gsa.gov; (703) 603-8137: Business Manager; Debra Drake; debra.drake@gsa.gov; (703) 605-5459: Business Manager; Karla Qawar; karla.qawar@gsa.gov; (703) 605-0553,"$150,000"
One Acquisition Source for Integrated Solutions for Small Business (OASIS SB),6,"OASIS and OASIS Small Business (SB) are multiple award, Indefinite Delivery Indefinite Quantity (IDIQ) contracts that provide flexible and innovative solutions for complex professional services.","1,3",5,0.10% - 0.75% based on obligation level.,"program management services, 
management consulting services, 
logistics services, 
engineering services, 
scientific services, 
financial services.

These services:
Span many areas of expertise and mission spaces; 
Span multiple professional service disciplines;
Allow flexibility for all contract types, including hybrids and cost-reimbursement, at the task order level; and
Allow ancillary support components, commonly referred to as Other Direct Costs (ODC), at the task order level.",www.ebuy.gsa.gov,Varies by vendor contract.,SME; Valerie Bindel; valerie.bindel@gsa.gov; (817) 850-8375: Business Manager; Tariq Choudry; tariq.choudry@gsa.gov; (703) 603-8137: Business Manager; Debra Drake; debra.drake@gsa.gov; (703) 605-5459: Business Manager; Karla Qawar; karla.qawar@gsa.gov; (703) 605-0553,"$150,000"
Oracle BPA,2,,7,33,None,"Oracle products, maintenance and services.",N/A,9/24/2018,Jaclyn.Smyth@hq.dhs.gov,
OS3: Office Supplies FSSI,6,,1,5,,,https://www.gsaadvantage.gov/advantage/main/home.do,,,
PC Refresh - VA only,5,,1,94,None,"The scope of this contract is to purchase a maximum of 600,000 PCs to cover the entire enterprise. These systems will be used across the agency to provide a standard operating environment for office automation, communications, access to departmental servers/hosts, and other IT applications. VA requires support and services associated with these workstations to accommodate gaps in internal capabilities. VA will operate these workstations in a 24x7 mission critical environment and requires maintenance commensurate with that operation. VA requires flexibility in use of these workstations, including quantities, configurations, operating locations, and lifecycle. The scope of this contract includes acquisition, operation, customization, maintenance, and deinstallation of the equipment identified. VA desires a steady delivery stream over the course of the ordering/delivery period of the contract.",Contact TAC,4/30/2015,,
Performance Management / Continuous Process Improvement (PM/CPI) Blanket Purchase Agreement,6,"The PM/CPI Blanket Purchase Agreements (BPAs) offer a pool of well-qualified contractors who provide market-leading services to federal agencies, governmentwide.  PM/CPI accelerates business transformation by fostering an innovative culture of continuous, measurable improvement that eliminates low-value-added activities and improves quality and responsiveness for customers worldwide.",7,5,None,"Strategic Planning and Performance Management;
Strategic Business Analysis;
Process and Performance Improvement;
Communications and Change Management; and
Training, Certification and Recognition.",http://www.gsa.gov/portal/mediaId/173739/fileName/PM-CPI_BPA_B2_Ordering_Procedures.action,6/23/2018,"Name: Kayleen Huggart
Title: Contracting Officer
Phone: 253-931-7530

Name: Paul Recklau
Title: Program Analyst
Phone: 703-605-3646
E-mail: pmcpibpa@gsa.gov",$100
Program Support Center (PSC),12,,1,5,Varies according to service,"The Program Support Center (PSC), a component within the United States Department of Health and Human Services (HHS), which provides a full range of shared services to federal agencies including financial management, real estate, facilities and logistics, occupational health, acquisitions, and other administrative operations. Administrative Operations Portfolio services includes Board for Corrections, Customer Contact Center, Departmental Forms Management, Digital Document Management, Fleet Operations, Freedom of Information Act, Graphic Arts, Mail Operations, Mail Screening, Parking Services, Payroll Liaison, Printing Program",Link Broken,N/A,,
Schedule 00CORP: The Consolidated Schedule,6,The Consolidated Schedule encompasses the vast majority of services currently offered under GSA's Schedules program. The Consolidated Schedule is basically a roll up of some of the individual Schedules maintained by various GSA Acquisition Centers.,"1,3",5,0.75% (built into catalog price),,https://www.gsaadvantage.gov/advantage/main/home.do,Varies by vendor contract.,"SME; Kathy Jocoy; kathy.jocoy@gsa.gov; 253-931-7080: Pre-Award SME; Randy Sheppard; dillan.sheppard@gsa.gov; 253-931-7459:Business Manager; Staci Oetting;staci.oetting@gsa.gov; 253-931-7611
",$100
